id;Title;Author;ISBN;Publisher;Price
367;Women on the 6th Floor, The (Les Femmes du 6ème Étage);Erv Maybury;668661645-1;Dabjam;82.1
368;August Evening;Glennie Challes;086395088-4;Katz;28.9
369;Love and Death on Long Island;Drew Swaddle;026076859-6;Avamba;6.6
370;Film Noir: Bringing Darkness to Light;Lillis Dysert;888442882-3;Dabshots;37.4
371;Boy on a Dolphin;Faye Barlow;704721734-7;Blogpad;51.4
372;Roger & Me;Kathleen Cucinotta;958228189-8;Quaxo;75.1
373;Twist;Ibby McQuin;657993824-2;Abatz;19.5
374;Paradise: Hope (Paradies: Hoffnung);Sallee Fulleylove;987343043-1;Divanoodle;91.2
375;Punishment Park;Farrah Chessor;168544390-7;Edgepulse;11.8
376;Ghost in the Shell (Kôkaku kidôtai);Corrie Licciardo;798549114-7;Voolith;33.8
377;In Your Hands;Daffie Gellert;841266533-3;Dazzlesphere;86.7
378;8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women);Inglis Quinby;186384793-6;Skalith;23.4
379;Screamtime;Daffi Baldelli;770961797-2;Bluejam;5.5
380;Pleasure of Being Robbed, The;Demetris Leupold;273117870-1;Snaptags;85.1
381;Gayniggers From Outer Space;Daron Mayou;889713526-9;Jayo;94.8
382;Brothers Rico, The;Gretal Randall;935104980-9;Feedfish;6.4
383;Nick the Sting;Di McTrustey;561051839-3;Quinu;18.8
384;American Crude;Francyne Wortman;870990129-9;Gabspot;88.3
385;Return of the Vampire, The;Raymund Heymann;126650617-9;Thoughtstorm;36.7
386;Amour fou, L';Evangelina Haldene;008611257-0;Yakidoo;51.5
387;And Then There Were None;Milt Lewry;965080601-6;Feedmix;48.6
388;Sun Valley Serenade;Blisse Kilalea;022419910-2;Buzzdog;60.6
389;Jekyll;Scarlett Basilotta;643066352-3;Trunyx;49.7
390;Harishchandrachi Factory;Rosmunda Seden;347592649-0;Oozz;33.8
391;Battle Royale (Batoru rowaiaru);Garvin Golagley;027569676-6;Eabox;10.8
392;Aquamarine;Mattheus Drains;275066635-X;Gabtune;35.8
393;Free The Mind;Forrester Kinglesyd;408930176-9;Rhynoodle;81.8
394;Golden Boys, The;Clara Fussie;368465189-3;DabZ;5.1
395;Lust for Life;Baily Tomik;123562726-8;Voonix;9.4
396;Misfits, The;Sabrina Brighty;848575340-2;Blogpad;3.0
397;Angel at My Table, An;Etienne Peert;463551094-8;Bubbletube;41.3
398;Little Monsters;Gale Hylands;738094490-8;JumpXS;38.0
399;Nick Carter, Master Detective;Kenny Lifsey;449048168-3;Buzzbean;72.3
400;Samurai Vendetta;Aguste Downes;385351685-8;Mydeo;56.9
401;Excuse Me for Living;Hersch Oene;618405028-1;Edgeify;24.8
402;Anatomy of a Love Seen;Buck Pochon;117970339-1;Meetz;15.3
403;Observe and Report;Grover Montilla;075295872-0;Skinix;82.9
404;13 Frightened Girls! (Candy Web, The);Amelita Finding;261989206-6;Rhynyx;26.3
405;Film ist.;Leoine Snow;287856197-X;Cogilith;30.8
406;And Along Come Tourists (Am Ende kommen Touristen);Darbee Barnewell;869289817-1;Skinte;42.1
407;In Which We Serve;Thaddeus Libbey;686337162-6;Gigabox;55.2
408;Morgan!;Johnette Reihill;234222507-5;Linkbuzz;8.7
409;Holy Wars;Randee Jeanet;090822455-9;Youspan;71.6
410;Law and Order;Pietrek Guidone;858194353-5;Jabbertype;62.8
411;Go Fish;Rozalin Pendall;037710611-9;Dynava;38.2
412;Hamilton - In the Interest of the Nation;Jolene Maddigan;699605751-5;Twinte;96.4
413;Treasure Planet;Dory Reiner;949123914-7;Dabvine;57.8
414;On the Beach;Carolyne Muldowney;254519172-8;Wikibox;40.4
415;Looking Forward;Israel Jedrzejewicz;938487203-2;Photospace;10.3
416;Bertie and Elizabeth;Juliann Kimmince;388093100-3;JumpXS;6.3
417;O Último Mergulho;Jayne Klimczak;106016118-4;Demivee;29.9
418;Brothers McMullen, The;Joel O'Shirine;817489228-1;Talane;79.7
419;Pete Seeger: The Power of Song;Ravid Weavers;624476282-7;Meedoo;36.1
420;Houseboat;Dee dee Harrigan;444647481-2;Kwilith;9.5
421;Sand Pebbles, The;Benson Sarjant;727180892-2;DabZ;58.7
422;Suspended Animation;Theodoric Ryves;054830295-2;Talane;21.7
423;Change of Address (Changement d'adresse);Carmine Poundford;341997605-4;Twitterbridge;78.5
424;I Think I Love My Wife;Jade Else;666120276-9;Mybuzz;5.3
425;Spud;Jennie Egentan;306835010-7;Wordware;87.4
426;The Day That Lasted 21 Years;Joseph Wycliffe;121904831-3;Topiczoom;91.0
427;Never a Dull Moment;Jannel Ohrtmann;457966542-2;JumpXS;70.1
428;Sweet Karma;Lorry Linzee;305827451-3;Divanoodle;48.2
429;976-EVIL II;Jocelyn Grigoliis;266641223-7;Skimia;76.8
430;Scarlet Diva;Gabriel Giovanitti;825813719-0;Janyx;9.6
431;Traveler, The (Mossafer);Suellen Brislawn;577427948-0;Divavu;17.4
432;Henry Kissinger: Secrets of a Superpower (Henry Kissinger - Geheimnisse einer Supermacht);Cissiee Shuter;270101045-4;Oyoyo;11.7
433;Country Strong;Oliviero Dunster;232338632-8;Vipe;57.7
434;Dirty Wars;Josias Hazelhurst;705471238-2;Riffwire;55.4
435;Purgatory;Jerrylee Villiers;462772108-0;Tazz;10.2
436;Hercules and the Lost Kingdom;Jephthah Beston;450975075-7;Yozio;34.1
437;Lola Versus;Lin Obin;931282457-0;Edgeclub;22.1
438;Safe Passage;Reeva Buttle;378049515-5;Trudoo;92.3
439;Plymouth Adventure;Thomasa Osichev;701854909-4;Vinte;59.8
440;Seed;Othilia Menpes;866414651-9;Skyba;9.7
441;Complicit;Cleve Minster;304490450-1;Flipopia;9.5
442;More Dead Than Alive;Mattias Ioannou;061602741-9;Realbridge;72.9
443;Last Days;Ainslee Spracklin;333384510-5;Meeveo;72.2
444;Re-cycle (Gwai wik);Miran Gaunt;449689600-1;Browsebug;78.2
445;I Love You, Man;Gillian Base;499081076-7;Chatterbridge;52.8
446;Barfly;Cliff Bruckental;387759646-0;Yakitri;67.3
447;Johnny Belinda;Rolando Hawkswood;301424038-9;Yozio;6.8
448;The Outsider;Evaleen Drohane;036006729-8;Tavu;18.0
449;Purge: Anarchy, The;Allis Shires;885444924-5;Zooveo;65.9
450;Undocumented;Rena Letherbury;119882947-8;Ntags;90.1
451;Joyride;Kin Cavill;350587019-6;Riffpedia;43.9
452;Holiday, The;Waverly Kendall;462134878-7;Rooxo;60.6
453;I Don't Know How She Does It;Arnie MacNamee;798588577-3;Dabshots;21.3
454;Caribe;Shamus Szanto;714606909-5;Aimbu;86.6
455;Dallas;Anny Labbati;975505556-8;Roodel;51.2
456;Balls Out: Gary the Tennis Coach;Luella Yellowlees;027734713-0;JumpXS;5.6
457;Mother Lode;Lezley Petzold;014544127-X;Mynte;90.9
458;Nine Dead Gay Guys;Urbano Matzaitis;950424430-0;Fivebridge;74.8
459;Stars in My Crown;Garrot Walesby;380504013-X;Edgepulse;66.9
460;It Runs in the Family;Garret Garnul;019295490-3;Twitterlist;93.5
461;Me You Them (Eu, Tu, Eles);Sonni Bleaden;881007211-1;Quinu;14.9
462;Komodo;Kerstin Dimitriev;294879018-2;Zooveo;82.9
463;Die Another Day;Lydie Tommen;795546168-1;Zoomlounge;87.6
464;Grouse;Lucas Sutherley;945781008-2;Blogpad;97.1
465;Midnight Bayou;Charmine Hilary;721131246-7;Gigazoom;50.1
466;Puddle Cruiser;Kynthia Nodin;849343066-8;Flipbug;87.7
467;Missionary;Alecia Graysmark;148194257-3;Voonder;26.1
468;Beyond the Black Rainbow;Ellerey Astell;609280586-3;Dynava;33.0
469;Sour Grapes;Candida Sherwill;499472306-0;Buzzshare;5.1
470;Pawnbroker, The;Kathy de Leon;120085035-1;JumpXS;61.8
471;Kart Racer;Mellisa Astlett;468617264-0;Voolith;15.8
472;Planet Hulk;Adela Toxell;788583671-1;Eabox;19.7
473;Strange Cargo;Juieta MacEnelly;014607128-X;Meevee;42.7
474;Last Sunset, The;Sol Shirrell;843609886-2;Feedmix;67.1
475;Ice Age 4: Continental Drift;Olivero Itzig;938853268-6;Vimbo;45.5
476;Police;Alana Greeson;695093944-2;Avamba;99.3
477;Animal Crackers;Shandy Petrasso;981683172-4;Twitterworks;6.1
478;Misconception;Stacie Tremblot;791654687-6;Twitterlist;92.0
479;Love Don't Cost a Thing;Justino Bamlett;373813535-9;Vinte;6.1
480;Into the Abyss;Chloris Yurchenko;299845471-2;Wikizz;35.2
481;Miracles;Dar Marrison;496653427-5;Skaboo;73.9
482;D2: The Mighty Ducks;Stephenie Schriren;660924999-7;Centizu;34.1
483;Norwegian Ninja;Engelbert Fortin;908697932-7;Youspan;87.4
484;Gamera vs. Jiger;Paxton Cawthry;139637780-8;Avaveo;9.7
485;Chungking Express (Chung Hing sam lam);Sheri Lafoy;347141589-0;Skyble;32.7
486;Bird of Paradise;Arv Bollins;921016894-1;Skiba;5.7
487;Royal Wedding;Ginny Mintram;875048462-1;Thoughtworks;40.8
488;Little Accidents;Hortensia Swigg;363130223-1;Browsezoom;76.0
489;Rear Window;Charmine Kleinmintz;714259795-X;Yabox;26.6
490;Driller Killer, The;Gill Hails;419985780-X;Rhybox;16.9
491;Solaris;Jess Elis;372548665-4;Flashpoint;91.5
492;Take Me Home;Cindy Ziems;387912305-5;Npath;3.8
493;Eddie;Chantal Cowoppe;309966804-4;Ooba;33.3
494;Pirates of Penzance, The;Dalton Pargent;050111812-8;Jayo;18.6
495;Girlhood;Britney Battson;134935387-6;Leenti;94.7
496;Malice;Conroy Ansty;174856326-2;Flipopia;31.2
497;Ice Harvest, The;Mariya Filochov;699070470-5;Gigazoom;79.9
498;Life On A String (Bian chang Bian Zou);Biddy Brogden;314107831-9;Topicshots;37.5
499;5th Musketeer, The (a.k.a. Fifth Musketeer, The);Rustie Jamison;304014101-5;Topdrive;31.6
500;Hawking;Ellissa Staniland;691542355-9;Oyoloo;20.9
501;Year of the Carnivore;Emmanuel Caddick;505590407-0;Layo;92.5
502;Just Another Love Story (Kærlighed på film);Ralf Withrop;045100613-5;Realbuzz;95.6
503;Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times, A;Sidnee Berrycloth;632061522-2;Skinte;48.7
504;Boss of It All, The (Direktøren for det hele);Stormie Ragsdale;385886746-2;Kare;14.0
505;Into the Deep;Cece Isgate;436214594-X;Shufflester;69.5
506;Dealer;Rosanne Parrett;528851154-3;Blogspan;79.4
507;It Came from Hollywood;Dena Doberer;643505436-3;Livetube;3.9
508;Shiri (Swiri);Gussy Buckwell;075118738-0;Ozu;93.9
509;Damien: Omen II;Sheelah Kingswood;735698020-7;Brightdog;53.6
510;Lady, The;Jane Cockran;089027514-9;Twimm;96.8
511;Chained for Life;Nariko Clemenzo;209518953-1;Zoovu;82.9
512;Wake Up, Ron Burgundy;Emmanuel Fashion;505986920-2;Tagchat;28.0
513;One Point O;Noe de Vaen;806710485-9;Edgepulse;4.4
514;Tequila Sunrise;Myron Pepper;786711554-4;Roodel;75.7
515;Valentine Road;Colver Munnis;667798456-7;Oloo;30.9
516;Goodbye Charlie;Constance Kempstone;165797321-2;Youspan;78.7
517;Mysterious X, The (Sealed Orders) (Det hemmelighedsfulde X);Sullivan Pastor;228942756-X;Eadel;22.4
518;Images;Riobard Raddish;213162385-2;Trudoo;45.4
519;Raven, The;Blondelle Wernher;975564197-1;Realfire;25.9
520;Coven;Bran Coddrington;922738694-7;Gigabox;16.4
521;Sarah's Key (Elle s'appelait Sarah);Vic Pilpovic;832997429-4;Yata;17.2
522;Dickie Roberts: Former Child Star;Vaughan Growden;646194456-7;Izio;8.2
523;Stop Train 349;Ludovico Mattusevich;910731712-3;Yabox;79.1
524;Rocks (Rad, Das);Jacquenette Ghiroldi;055755475-6;Quatz;53.1
525;Wash, The;Wilona Rook;361955085-9;Feedspan;32.6
526;Corridor, The (Koridorius);Jameson Dimic;320575446-8;Quatz;38.6
527;Kismet;Josi Jozwiak;090046250-7;Myworks;85.4
528;Falls, The;Gaelan Hylden;161674576-2;Nlounge;63.8
529;Cthulhu;Isobel Steere;646996284-X;Lajo;29.8
530;Happy Feet;Christina Thomason;247964925-3;Dynabox;32.9
531;Bedtime Story;Glyn Hasely;536339538-X;Skilith;98.4
532;Tokyo-Ga;Bernelle Graundisson;281777197-4;Browseblab;41.5
533;Paris Is Burning;Otto Dorrity;732439168-0;Tagcat;18.2
534;True Romance;Kendre Jersh;072858697-5;Youspan;42.5
535;Big One, The;Cleavland Conkay;050615530-7;Fivechat;45.0
536;Casper's Haunted Christmas;Gayla Woolen;169432511-3;Edgepulse;6.0
537;Haiku Tunnel;Brian Gerren;466628287-4;Avavee;57.4
538;Doughboys;Tamiko Polsin;086888680-7;Npath;86.0
539;Love & Human Remains;Jaquenetta Biddiss;735363908-3;Photojam;58.4
540;Lawnmower Man 2: Beyond Cyberspace;Carolynn Smeeton;625370551-2;Tavu;16.8
541;It Had to Be You;Gilda Fritchley;950079439-X;Realmix;70.8
542;Masseurs and a Woman, The (Anma to onna);Hector Esche;210711314-9;Zoovu;29.4
543;Windtalkers;Juanita Estcot;352065876-3;Einti;24.5
544;House of Exorcism, The (a.k.a. Lisa and the Devil) (Casa dell'esorcismo, La);Barbette Gawke;721389387-4;Tagfeed;88.6
545;Armless;Eryn Delieu;919462929-3;Jetpulse;92.6
546;Last Man, The;Luciana Pilmer;887381401-8;Teklist;62.9
547;Lollilove;Read Caunce;163710075-2;Meevee;8.3
548;Larger Than Life;Gerick Yansons;238109213-7;Avaveo;82.0
549;Kid, The;Nikita Vasilmanov;873029505-X;Eazzy;92.9
550;Gray Lady Down;Callida Tombling;854208131-5;Photolist;40.2
551;Run Lola Run (Lola rennt);Tanitansy Feenan;999212736-8;Jabbersphere;39.2
552;Oxford Murders, The;Rennie Beminster;253818006-6;Vinder;18.3
553;Whispers in the Dark;Wilhelmine Shorland;468748985-0;Flipstorm;67.5
554;M for Mother (Mim mesle madar);Sallyann Resun;285008415-8;Aimbo;82.8
555;Second Chorus;Hadria Oakley;574846456-X;Realfire;97.3
556;Illuminata;Rosco Beran;116319805-6;Fanoodle;24.0
557;Lost in Space;Ibbie Crowcum;030224770-X;Oyondu;33.9
558;Wonder Woman;Veriee Tanguy;212472494-0;Realmix;51.0
559;War Zone, The;Rowe Tilson;404810207-9;Brainbox;77.9
560;Laura;Tilly Chrichton;606990635-7;Quatz;25.8
561;End of the Century: The Story of the Ramones;Normie Tromans;975793167-5;Zooxo;29.1
562;Dunce Class on Vacation, The (Hababam sinifi tatilde);Gian Gilfoy;876149249-3;Talane;68.6
563;Suspiria;Morry Derye-Barrett;800882981-8;Rhycero;95.7
564;10 MPH;Hugh Apfel;076512786-5;Muxo;66.3
565;Quatermass Xperiment, The;Florida Barker;089029251-5;Twitterbridge;32.8
566;ID:A;Kippie Hebron;754200380-1;Feednation;7.5
567;Resident Evil: Afterlife;Reg Tidbald;364792157-2;Wikibox;35.5
568;Irreconcilable Differences;Karleen Rodnight;255269027-0;Zoombox;78.6
569;Vares: The Kiss of Evil (Vares - Pahan suudelma);Wendye Heaney;308579186-8;Jabbersphere;40.0
570;Anything But Love (a.k.a. Standard Time);Carney Cejka;254947908-4;Fivespan;93.5
571;Jane Eyre;Ursola Adamiec;458951070-7;Edgeclub;25.8
572;Scum;Darryl Teligin;796605949-9;Chatterpoint;99.6
573;Mantrap;Bobbette Matyugin;640641177-3;Eidel;12.2
574;Legionnaire;Jaclin Svanini;703961948-2;Jabbersphere;50.5
575;Mercredi, folle journée!;Maynord Megarrell;386623517-8;Agivu;57.4
576;Godzilla: Tokyo S.O.S. (Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.);Larry Andreu;648279681-8;Miboo;78.0
577;Manborg;Merilee Skacel;107663613-6;Jabbertype;3.1
578;Night Terrors;Trudie Gigg;743111426-5;Brainverse;20.3
579;ThanksKilling 3 ;Randell Bolte;231084351-2;Wordpedia;49.7
580;Dark Ride;Eldredge Waddington;817158491-8;Zoovu;6.6
581;Marley & Me;Valentine O' Scallan;392506243-2;Aivee;38.6
582;Paris;Alys Thinn;916240891-7;Oyonder;4.6
583;George & A.J.;Byrann De Gregorio;706862799-4;Oodoo;31.7
584;Blood Shot;Saudra Naulty;623038725-5;Meevee;66.6
585;Perfect Storm, The;Martie Sainer;284728455-9;Voonder;4.4
586;Eaten Alive;Moore Braidley;276250784-7;Tazz;17.8
587;Closer You Get, The;Lionel Tamblingson;983883643-5;Kamba;24.9
588;Red Baron, The (Der rote Baron);Petronella Feehan;829698700-7;Fanoodle;41.2
589;Olive Kitteridge;Windham Allbones;418442033-8;Twitternation;58.4
590;Debt, The;Sergeant Beddall;131435662-3;Bluejam;91.6
591;Bluebeard;Kaja Ladbrooke;544591122-5;Thoughtbridge;49.0
592;Dark Island;Allistir Clunie;653217975-2;Kwideo;45.1
593;Lost & Found;Kristien Daouse;608170846-2;Feednation;43.7
594;You're Gonna Miss Me;Zacharia Lindblom;604818342-9;Aibox;92.1
595;Take the Lead;Shani Noblett;078130777-5;Kaymbo;56.5
596;Killshot;Lorelei Titherington;206458798-5;Minyx;66.0
597;Fingers at the Window;Willie Overnell;701750595-6;Yacero;3.8
598;Glenn Miller Story, The;Alfreda Bestwick;292681411-9;Shufflester;66.2
599;Bloody Child, The;Terry Hellin;522342046-2;Flipstorm;31.5
600;Girl with Hyacinths;Colman Klasing;882162836-1;Yodo;9.4
601;Russkies;Jelene Ricks;417772058-5;Oodoo;18.1
602;Walkabout;Carri Callar;475616445-5;Tagfeed;98.3
603;Tree of Life, The;Emylee Likely;834235099-1;Abatz;45.9
604;Good Guy, The;Ania Planke;951058164-X;Photolist;47.3
605;Target;Saunders McCay;572652551-5;Plambee;39.9
606;Law and Order;Gino Loughhead;336322841-4;Centizu;8.3
607;Shirin in Love;Shandeigh Fulker;552692206-5;Twiyo;20.5
608;Woman Is the Future of Man (Yeojaneun namjaui miraeda);Faunie Parke;585724143-X;Youfeed;47.7
609;Promised Land;Nettle Norkett;570420922-X;Topiclounge;98.0
610;I Now Pronounce You Chuck and Larry;Frazier Dunmore;293868561-0;Meeveo;16.8
611;Stalingrad;Lauren Beament;444393639-4;Realblab;13.1
612;Bucket List, The;Jandy Garrattley;528591964-9;Thoughtbeat;55.5
613;Lucky Numbers;Ferne Dietmar;693540614-5;Yakidoo;48.5
614;In the Edges: The 'Grizzly Man' Session ;Mina Tidbald;851481902-X;Mycat;22.5
615;What a Girl Wants;Berky Swindle;486782891-2;Meevee;29.8
616;A Most Violent Year;Morganne Turrell;165832441-2;Rhyzio;52.8
617;Invaders from Mars;Lucine Persehouse;847859413-2;Oyoyo;74.7
618;Mad Ron's Prevues from Hell;Catina Wride;185499510-3;Jabbertype;97.3
619;First Squad: The Moment of Truth;Onida Juza;713342499-1;Youopia;49.6
620;Backflash (Backflash Blues);Dorotea Cartman;483932741-6;Quimba;99.2
621;My Love Has Been Burning (Waga koi wa moenu);Vernice Bulteel;730454978-5;Tanoodle;19.4
622;Civil Brand;Daphna Wayt;837915239-5;Ozu;59.0
623;Like It Is;Edan Bowdidge;792740624-8;Jayo;41.6
624;Walking with Monsters;Dora Heenan;431818925-2;Zoovu;39.0
625;Sextette;Eldridge Hostan;223153060-0;Gabtune;45.3
626;More Dead Than Alive;Dredi Ledingham;674998969-1;Oyope;61.1
627;Mulholland Falls;Benedikta Leythley;988401509-0;Avaveo;85.9
628;Bang Bang;Gerardo Burmaster;722971416-8;Lazz;45.0
629;Waterworld;Deane Houtby;188167677-3;Flashset;29.6
630;Never on Sunday (Pote tin Kyriaki);Wendell Daventry;153028034-6;Kwideo;59.6
631;Kickboxer;Roze Lemin;573813042-1;Oodoo;68.8
632;Carry on Behind;Heidi Gillimgham;355623386-X;Livetube;33.6
633;Box of Moon Light;Coriss Odam;584075369-6;Avamm;83.0
634;Enforcer, The;Dierdre Skilbeck;484147080-8;Trupe;28.7
635;Buffalo Bill;Angelika Darnborough;196738222-0;Bubbletube;83.9
636;Friends at the Margherita Cafe, The (Gli amici del bar Margherita);Theodoric Dunnion;373632043-4;Riffwire;58.6
637;Winners and Sinners (Qi mou miao ji: Wu fu xing);Mitchel Panas;295142108-7;Ozu;47.7
638;Jupiter's Wife;Tully Ramos;683547364-9;Quire;44.1
639;Accidental Husband, The;Lay Brackley;044577224-7;Photojam;23.6
640;Fat, Sick & Nearly Dead;Sarette Doole;071428193-X;Youspan;29.7
641;River of Grass;Bennie Tilsley;990789925-9;Yombu;32.4
642;Frankenstein Syndrome, The;Trevar Stoney;390791200-4;Youtags;87.2
643;Zincirbozan;Hoebart Francescuzzi;817944669-7;Jabbersphere;22.3
644;Simple Twist of Fate, A;Roxane Tipperton;181274542-7;Cogibox;6.4
645;Death at a Funeral;Allyce Bibey;963454206-9;Skinix;16.7
646;Osama;Lorelle Viggers;876306430-8;Photojam;73.4
647;Tideland;Joell Sandcroft;771303626-1;Skiba;65.5
648;Confessions of a Teenage Drama Queen;Elane Henric;167770932-4;Brightbean;61.4
649;Kilometre Zero (Kilomètre zéro);Elsy Rolin;975745289-0;Vitz;57.7
650;Flamenco (de Carlos Saura);Susanna Semerad;971119140-7;Centidel;30.7
651;Single Man, A;Gerrie Slatter;201943254-4;Jaloo;58.1
652;Impostors, The;Roby Verbeke;305490513-6;Flashspan;29.5
653;First Man, The (Le Premier Homme);Babette Searles;863452132-X;Zava;57.3
654;Elephants Dream;Rowan Hannabus;401726525-1;Layo;97.7
655;Fat Head;Hilly Whimper;989638227-1;Brainsphere;58.9
656;Reign Over Me;Rebekah Cadle;789377665-X;Photospace;40.9
657;Malta G.C.;Atalanta Antonchik;710080601-1;Flipbug;77.1
658;De-Lovely;Winonah Aves;752375284-5;Babbleblab;17.3
659;Up in the Air;Jae Southon;474021365-6;Twitterbeat;57.2
660;Take Me Home;Daisi Schimpke;547859309-5;Kare;97.5
661;White Frog;Gerianne Lossman;081624099-X;Yakitri;65.2
662;Modris;Amabelle Feragh;492465072-2;Fivespan;73.1
663;East of Eden;Jacqui La Batie;567776808-1;Youspan;4.7
664;Tough Guise: Violence, Media & the Crisis in Masculinity;Reginald Nussii;970123898-2;Twitterlist;75.4
665;Legend of Bigfoot, The;Gayel Mitkov;053955729-3;Divanoodle;8.0
666;Clan of the Cave Bear, The;Whitaker Kleszinski;641707395-5;Blogtag;52.1
667;Feast of Love;Brady Bute;839283357-0;Innojam;49.5
668;Kiss, The;Blondell MacColl;166499889-6;Babblestorm;61.5
669;Amen;Lin Rother;681282786-X;Trudeo;70.1
670;Dangerous Davies: The Last Detective;Gunilla Touzey;843258251-4;Brightbean;55.8
671;Skellig;Isacco Tullett;431540744-5;Riffpath;77.8
672;Stalker;Justinian Matt;934732389-6;Feedfish;99.4
673;Puss in Boots (Nagagutsu o haita neko);Doris Brandenburg;526007891-8;Skyndu;51.7
674;Let My Puppets Come;Whitby Nendick;712653772-7;Flashdog;67.1
675;Tortilla Soup;Emmy Betje;211203304-2;Divavu;85.2
676;Welcome to Sarajevo;Lindie Loder;047495335-1;Aimbu;59.4
677;Face/Off;Olympe Anthon;715027125-1;Realcube;84.9
678;Appeared, The (Aparecidos);Harald Geikie;221358719-1;Abata;87.2
679;Harper Valley P.T.A.;Goran Pleat;562722956-X;Divanoodle;6.5
680;Carrie;Kaine Defau;861808841-2;Jabbercube;55.5
681;Family Business;Tootsie Dimont;485144335-8;Trupe;35.3
682;They Gave Him A Gun;Henri Gerriet;785171769-8;Kazu;41.2
683;Boiler Room;Neala Vallery;592158967-5;Lazz;75.3
684;Cat's Eye;Blondelle Celes;445204793-9;Trilia;64.3
685;Green Wave, The;Xenia Pohlke;564255016-0;Tagcat;84.6
686;Skirt Day (La journée de la jupe);Weidar Coggill;137571520-8;Abatz;29.8
687;Wild Hearts Can't Be Broken;Leigha Penrice;426243790-6;Kazu;18.2
688;Lost World, The;Lacy Sparkes;010484848-0;Browsedrive;85.8
689;Mrs. Dalloway;Elijah Nicholas;086146376-5;Wikivu;60.0
690;Synthetic Pleasures;Russ Storrah;334592675-X;Youfeed;71.7
691;Antonio Gaudí;Aldis Plessing;214001854-0;Linklinks;71.4
692;Reservation Road;Kristy Longmore;074718539-5;Thoughtsphere;48.7
693;Slums of Beverly Hills, The;Claudette Catt;827633735-X;Eidel;79.1
694;Blob, The;Leonora Fayerbrother;402507047-2;Twimm;27.4
695;Classic, The (Klassikko);Anette Confort;397345123-0;Demizz;31.2
696;Say Anything...;Julio Whyard;988268904-3;Muxo;4.7
697;Nekromantik 2;Brandy Bartlosz;972282286-1;Gigazoom;3.6
698;Switch, The;Keeley Mathouse;560669132-9;Jaxnation;77.4
699;My Friends (Amici miei);Zitella Bramelt;505548012-2;Livetube;42.2
700;Ultimate Avengers;Nancy MacAlpyne;076220646-2;Mynte;60.5
701;I Love You, Man;Lancelot Yorath;308587455-0;Tazzy;38.2
702;Matchmaker, The;Ericha Cuncarr;963699151-0;Jaxspan;26.4
703;Taking of Power by Louis XIV, The (Prise de pouvoir par Louis XIV, La);Maynord Pettigrew;802437319-X;JumpXS;13.5
704;Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre);Carmencita Bearcroft;081751250-0;Skivee;36.0
705;Express, The;Pancho Desouza;438040401-3;Kwinu;10.1
706;Pajama Game, The;Rhys Alan;421356750-8;Twitterlist;61.7
707;Why We Fight;Micky Iveagh;579390533-2;Edgeify;76.5
708;Britannia Hospital;Alena Giberd;131955877-1;Flashspan;60.2
709;Jane Eyre;Meggie Copins;789627681-X;Babblestorm;36.1
710;Saint Ange (House of Voices);Isidora Boscher;624957797-1;Plajo;36.5
711;Gospa;Glyn Helsdon;464077055-3;Twitterlist;27.8
712;Surfwise;Carline MacTerrelly;042057113-2;Meevee;80.1
713;Body Snatchers;Abramo Eriksson;090236896-6;Linkbridge;84.0
714;Holy Rollers;Tory Ledson;268397641-0;Wikivu;56.1
715;Shame (Skammen);Lance Miettinen;169849936-1;Gabcube;9.4
716;German Doctor, The (Wakolda);Sherie Rouf;065635245-0;Mydeo;83.0
717;Building the Inferno: Nobuo Nakagawa and the Making of 'Jigoku';Rosalynd Darton;593577594-8;Plambee;93.1
718;Camille;Sabrina Crutcher;890780891-0;Topicblab;90.4
719;Damned United, The;Francklin Tomaini;354016986-5;Jabberstorm;11.7
720;Larceny, Inc.;Demetria Sponer;855127208-X;Oba;92.4
721;My Baby's Daddy;Pearline Shrive;246871084-3;Flashpoint;18.6
722;Battlestar Galactica;Shandy Daveran;208619543-5;Skimia;47.2
723;Otis;Harmonie Dietsche;204828710-7;Talane;80.8
724;Lancelot of the Lake (Lancelot du Lac);Normy Lethabridge;589321509-5;Skaboo;72.6
725;Sword of Desperation (Hisshiken torisashi);Skip Offen;652625378-4;Podcat;37.0
726;Largo Winch (Heir Apparent: Largo Winch, The);Arlena Yann;792118199-6;Twitternation;24.6
727;Big Jake;Aguste Ambrogini;495609169-9;Jabbersphere;37.8
728;All I Want for Christmas;Field Goggins;482793563-7;Innojam;38.2
729;Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2);Drona Tibalt;133797590-7;Wikizz;29.7
730;Ghoulies II;Yance Sandcraft;258759456-1;Brainbox;20.1
731;No Reservations;Merna Lenchenko;037788666-1;Agimba;39.5
732;Exit;Kristin Plowell;363184049-7;Abata;14.2
733;Hunger Games, The;Tanney Aubery;120964674-9;Skilith;33.7
734;M for Mother (Mim mesle madar);Gav Blasdale;818532095-0;Yamia;68.6
735;Two English Girls (Les deux anglaises et le continent);Sigfrid Coddington;245424501-9;Wikibox;66.8
736;Sade;Carroll Soro;513835927-4;Babblestorm;85.3
737;Paan Singh Tomar;Robinet Hubball;332648405-4;Abata;93.5
